2013 rank,2012 rank,Year-on-year change,Institution,Country,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Citations Per Faculty Score,International Faculty Score,International Students Score,Overall Score,Link to profile on QS
65,60,-5,Ludwig-Maximilians-UniversitÌ_t MÌ_nchen,Germany,98.4,84.3,45.4,63.8,46.3,43,74.4,http://www.topuniversities.com/node/4189/Ludwig-Maximilians-Universit%C3%A4t+M%C3%BCnchen
66,65,-1,Tokyo Institute of Technology,Japan,79.8,84.6,76.8,78.3,15,35.1,74.2,http://www.topuniversities.com/node/9103/Tokyo+Institute+of+Technology
67,71,4,Lund University,Sweden,89.6,90,50.8,67.7,51.4,52.4,74,http://www.topuniversities.com/node/2838/Lund+University
68,69,1,London School of Economics and Political Science (LSE),United Kingdom,92.6,100,63.5,19.6,100,100,73.9,http://www.topuniversities.com/node/2817/London+School+of+Economics+and+Political+Science+%28LSE%29
69=,61,8,Monash University,Australia,94.1,98,34.6,50.1,89.5,90.7,73.7,http://www.topuniversities.com/node/4181/Monash+University
69=,78,9,University of Helsinki,Finland,84.3,55.7,92.9,59.9,56.8,14.7,73.7,http://www.topuniversities.com/node/2554/University+of+Helsinki
71=,66,-5,The University of Sheffield,United Kingdom,79.3,84.7,59.4,62,80.4,91.4,73.3,http://www.topuniversities.com/node/4565/The+University+of+Sheffield
71=,74,3,University of Geneva,Switzerland,66.6,36.9,64.8,98.9,100,99,73.3,http://www.topuniversities.com/node/2453/University+of+Geneva
71=,68,-3,University of Texas at Austin,United States,98.5,87.9,21.1,82,57.9,26.5,73.3,http://www.topuniversities.com/node/9094/University+of+Texas+at+Austin
74,75,1,Leiden University,Netherlands,86.6,59.8,44.5,94.3,68.8,22.7,73.2,http://www.topuniversities.com/node/2762/Leiden+University
75=,72,-3,The University of Nottingham,United Kingdom,80.3,98,54.8,56.5,84.8,87.7,73.1,http://www.topuniversities.com/node/4274/The+University+of+Nottingham
75=,75,0,Tohoku University,Japan,81.8,76,97.9,54.9,18.5,21.2,73.1,http://www.topuniversities.com/node/9101/Tohoku+University
77,82,5,Katholieke Universiteit Leuven,Belgium,93.1,79.6,21.7,86.2,74.9,44.3,73,http://www.topuniversities.com/node/2259/Katholieke+Universiteit+Leuven
78,90,12,University of Zurich,Switzerland,80.6,67.6,70.9,59.2,99.7,52.2,72.9,http://www.topuniversities.com/node/9267/University+of+Zurich
79=,64,-15,Boston University,United States,75.6,81.5,64.9,85.3,12.7,63.7,72.5,http://www.topuniversities.com/node/2217/Boston+University
79=,81,2,Uppsala University,Sweden,86.3,70.1,38.6,92.5,41,48.9,72.5,http://www.topuniversities.com/node/9139/Uppsala+University
81,85,4,Utrecht University,Netherlands,84.9,63.2,46.5,93.7,55.7,18.1,72.3,http://www.topuniversities.com/node/9150/Utrecht+University
82,80,-2,National Taiwan University (NTU),Taiwan,97.5,76.4,39.9,77.4,17.5,14.9,72,http://www.topuniversities.com/node/4228/National+Taiwan+University+%28NTU%29
83,93,10,University of St Andrews,United Kingdom,66.2,78.4,67.8,68.5,95.9,99.9,71.6,http://www.topuniversities.com/node/9066/University+of+St+Andrews
84,79,-5,The University of Western Australia,Australia,77.5,79.2,38.6,78.8,99.9,75.2,71.4,http://www.topuniversities.com/node/9190/The+University+of+Western+Australia
85,100,15,"University of California, Davis",United States,83.8,48.6,38.7,96.9,68.9,41.3,71.3,http://www.topuniversities.com/node/2239/University+of+California%2C+Davis
86=,73,-13,University of Southampton,United Kingdom,73.9,65.8,61,67.9,87,89.2,71,http://www.topuniversities.com/node/9063/University+of+Southampton
86=,84,-2,Washington University in St. Louis,United States,62.1,36.7,99.8,96.7,7.2,50.6,71,http://www.topuniversities.com/node/9184/Washington+University+in+St.+Louis
88,90,2,Fudan University,China,92.5,92.9,40.4,64.9,18.3,46.5,70.8,http://www.topuniversities.com/node/2448/Fudan+University
89,111,22,University of Oslo,Norway,72.4,50.8,83.2,75.4,46.3,44.5,70.6,http://www.topuniversities.com/node/4412/University+of+Oslo
90,92,2,Durham University,United Kingdom,75.3,98.7,48.9,60.4,89.7,76.3,70.4,http://www.topuniversities.com/node/2322/Durham+University
91,89,-2,Aarhus University,Denmark,75.1,60.1,59.9,80,66.9,53.7,70.3,http://www.topuniversities.com/node/2161/Aarhus+University
92=,99,7,Erasmus University Rotterdam,Netherlands,54.5,91.5,68.7,93.2,75.4,57.2,70.2,http://www.topuniversities.com/node/2357/Erasmus+University+Rotterdam
92=,114,22,UniversitÌ© de MontrÌ©al,Canada,79,59.6,37.3,82.4,87,82.6,70.2,http://www.topuniversities.com/node/4186/Universit%C3%A9+de+Montr%C3%A9al
94,83,-11,The University of Auckland,New Zealand,92.1,88,27.9,47.1,89.7,89.1,69.8,http://www.topuniversities.com/node/2191/The+University+of+Auckland
95,103,8,Delft University of Technology,Netherlands,79.8,81.8,36.6,67.3,90.2,74.8,69.4,http://www.topuniversities.com/node/2308/Delft+University+of+Technology
96,108,12,University of Alberta,Canada,77.8,59.6,61.5,57.6,90.5,72.9,69.3,http://www.topuniversities.com/node/2170/University+of+Alberta
97=,109,12,University of Groningen,Netherlands,66.4,57.3,73.8,63.9,91.9,90.2,69.2,http://www.topuniversities.com/node/2525/University+of+Groningen
97=,94,-3,University of Leeds,United Kingdom,81.3,87.3,48.2,52.5,77.8,72.6,69.2,http://www.topuniversities.com/node/2752/University+of+Leeds
99=,88,-11,Georgia Institute of Technology,United States,76.2,82.9,18.8,99.6,41.6,72.1,68.4,http://www.topuniversities.com/node/2467/Georgia+Institute+of+Technology
99=,86,-13,Nagoya University,Japan,72.3,64.7,94.1,57,21.8,28.8,68.4,http://www.topuniversities.com/node/4197/Nagoya+University
99=,95,-4,Purdue University,United States,78.6,82.8,35.5,63.7,95.1,77.2,68.4,http://www.topuniversities.com/node/4550/Purdue+University
