"","PlayerID","PlayerTrueName","Team","MinOnCourt","PossForOnCourt","PossOppOnCourt","PointsForOnCourt","PointsOppOnCourt","OffRtgOnCourt","DefRtgOnCourt","OverallRtgOnCourt","ORebForOnCourt","ORebOppOnCourt","DRebForOnCourt","DRebOppOnCourt","ORebRateOnCourt","DRebRateOnCourt","MinOffCourt","PossForOffCourt","PossOppOffCourt","PointsForOffCourt","PointsOppOffCourt","OffRtgOffCourt","DefRtgOffCourt","OverallRtgOffCourt","ORebForOffCourt","ORebOppOffCourt","DRebForOffCourt","DRebOppOffCourt","ORebRateOffCourt","DRebRateOffCourt","OverallRtgOnCourtMinusOffCourt","ORebRateOnCourtMinusOffCourt","DRebRateOnCourtMinusOffCourt","TotalScore","PointsForOnCourt Score","PointsOppOnCourt Score","ORebForOnCourt Score","ORebOppOnCourt Score","DRebForOnCourt Score","DRebOppOnCourt Score","PointsForOffCourt Score","PointsOppOffCourt Score","ORebForOffCourt Score","ORebOppOffCourt Score","DRebForOffCourt Score","DRebOppOffCourt Score"
"90",260,"James, LeBron","CLE",579.8,1036,1035,1189,1067,114.7683,103.0918,11.6766,217,162,392,357,0.378,0.7076,97.2,168,172,177,180,105.3571,104.6512,0.706,23,34,71,53,0.3026,0.6762,10.9706,0.0754,0.0314,468.858604482404,64.0364188163885,59.6938245978204,73.6156351791531,55.993690851735,62.7354260089686,57.8923766816144,15.5166374781086,15.3273542600897,14.8169014084507,17.3972602739726,17.0656370656371,14.7674418604651
"82",239,"West, Delonte","CLE",590.6333,1052,1054,1201,1084,114.1635,102.8463,11.3172,199,160,397,356,0.3586,0.7127,86.3667,152,153,165,163,108.5526,106.5359,2.0167,41,36,66,54,0.4316,0.6471,9.3005,-0.073,0.0656,468.326993453919,64.5827010622155,60.4878048780488,68.3387622149837,55.4258675078864,63.4080717488789,57.7578475336323,15.0437828371278,14.6412556053812,19.3802816901408,17.8904109589041,16.4864864864865,14.8837209302326
"86",252,"Scalabrine, Brian","BOS",245.5667,451,454,493,500,109.3126,110.1322,-0.8195,71,83,157,157,0.3114,0.6542,461.4333,894,891,937,930,104.8098,104.3771,0.4327,150,133,332,332,0.3112,0.714,-1.2522,2e-04,-0.0598,466.44033384778,32.3520485584218,33.2122470160872,30.814332247557,33.5646687697161,31.1210762331839,30.9865470852018,45.4640980735552,45.5964125560538,47.0140845070423,41.8082191780822,47.2972972972973,47.2093023255814
"7",20,"House, Eddie","BOS",232.2667,465,438,480,487,103.2258,111.1872,-7.9614,54,70,145,171,0.24,0.6744,474.7333,880,907,950,943,107.9545,103.9691,3.9854,167,146,344,318,0.3443,0.702,-11.9468,-0.1043,-0.0276,465.150175788331,31.7602427921093,32.6050856253243,25.8306188925081,29.8738170347003,29.5067264573991,32.8699551569507,45.976357267951,46.1210762331839,51.3239436619718,45.013698630137,48.6872586872587,45.5813953488372
"21",55,"Williams, Mo","CLE",540.75,953,941,1106,973,116.0546,103.4006,12.6539,189,149,362,324,0.3684,0.7084,136.25,251,266,260,274,103.5857,103.0075,0.5781,51,47,101,86,0.3723,0.6824,12.0758,-0.0039,0.026,464.995734951525,60.257966616085,55.3035806953814,65.4071661237785,52.3028391167192,58.6995515695067,53.4529147982063,18.7872154115587,19.1210762331839,21.9154929577465,20.6027397260274,20.5405405405405,18.6046511627907
"64",168,"Petro, Johan","DEN",26.45,52,51,50,58,96.1538,113.7255,-17.5716,8,8,16,17,0.32,0.6667,693.55,1338,1336,1583,1428,118.3109,106.8862,11.4247,223,218,469,460,0.3265,0.6827,-28.9963,-0.0065,-0.016,463.837195011574,12.185128983308,12.5687597301505,12.3452768729642,12.2712933753943,12.152466367713,12.152466367713,70.9194395796848,65.695067264574,65.5211267605634,62.7671232876712,63.1660231660232,62.0930232558139
"31",75,"Hart, Jason","DEN",18.8667,37,36,27,39,72.973,108.3333,-35.3604,6,5,12,13,0.3158,0.7059,701.1333,1353,1351,1606,1447,118.6992,107.1058,11.5933,225,221,473,464,0.3266,0.6816,-46.9537,-0.0108,0.0243,463.236802792926,11.1380880121396,11.6813700051894,11.7589576547231,11.4195583596215,11.6143497757848,11.6143497757848,71.8257443082312,66.4618834080717,66.0281690140845,63.5068493150685,63.6293436293436,62.5581395348837
"156",597,"Balkman, Renaldo","DEN",20.15,41,39,39,29,95.122,74.359,20.763,6,2,16,11,0.3529,0.8889,699.85,1349,1348,1594,1457,118.1616,108.0861,10.0755,225,224,469,466,0.3256,0.6768,10.6875,0.0273,0.2121,463.173057601858,11.6843702579666,11.2143227815257,11.7589576547231,10.5678233438486,12.152466367713,11.3452914798206,71.3528896672504,66.8654708520179,66.0281690140845,64.2465753424657,63.1660231660232,62.7906976744186
"84",244,"Marbury, Stephon","BOS",166.0333,321,329,309,345,96.2617,104.8632,-8.6015,38,58,115,122,0.2375,0.6647,540.9667,1024,1016,1121,1085,109.4727,106.7913,2.6813,183,158,374,367,0.3327,0.703,-11.2828,-0.0952,-0.0383,460.665227078946,23.9757207890744,25.9730150492994,21.1400651465798,26.4668769716088,25.4708520179372,26.2780269058296,52.7145359019264,51.8520179372197,55.3802816901408,47.972602739726,52.1621621621622,51.2790697674419
"132",505,"Varejao, Anderson","CLE",420.0167,751,757,880,764,117.1771,100.9247,16.2524,150,111,293,258,0.3676,0.7252,256.9833,453,450,486,483,107.2848,107.3333,-0.0486,90,85,170,152,0.3719,0.6667,16.301,-0.0043,0.0585,456.827119285378,49.9696509863429,45.5422937208095,53.9739413680782,41.5141955835962,49.4170403587444,44.5739910313901,27.6926444833625,27.5560538116592,31.8028169014085,29.972602739726,28.5328185328185,26.2790697674419
"89",258,"Ilgauskas, Zydrunas","CLE",406.85,731,720,860,736,117.6471,102.2222,15.4248,138,115,281,245,0.3603,0.7096,270.15,473,487,506,511,106.9767,104.9281,2.0486,102,81,182,165,0.382,0.692,13.3762,-0.0217,0.0176,455.73909668766,49.0591805766313,44.2345614945511,50.4560260586319,42.6498422712934,47.8026905829596,42.8251121076233,28.4807355516637,28.6860986547085,34.8450704225352,28.986301369863,29.9227799227799,27.7906976744186
"122",411,"Moore, Mikki","BOS",65.7833,130,139,123,157,94.6154,112.9496,-18.3343,20,27,43,48,0.2941,0.6143,641.2167,1215,1206,1307,1273,107.572,105.5556,2.0165,201,189,446,441,0.3131,0.7024,-20.3508,-0.019,-0.0881,453.766300346623,15.5083459787557,17.1925272444214,15.8631921824104,17.6656151419558,15.7847533632287,16.3228699551569,60.0437828371278,59.4394618834081,59.943661971831,55.6164383561644,60.5019305019305,59.8837209302326
"131",501,"Allen, Tony","BOS",60.2667,107,129,99,151,92.5234,117.0543,-24.5309,15,25,44,45,0.25,0.6377,646.7333,1238,1216,1331,1279,107.5121,105.1809,2.3312,206,191,445,444,0.3169,0.6997,-26.8621,-0.0669,-0.062,453.272452995891,14.4157814871017,16.9122989102231,14.3973941368078,17.0977917981073,15.9192825112108,15.9192825112108,60.9894921190893,59.6816143497758,61.2112676056338,56.1095890410959,60.3861003861004,60.2325581395349
"142",552,"Powe, Leon","BOS",24.3667,50,50,38,54,76,108,-32,7,6,21,26,0.2121,0.7778,682.6333,1295,1295,1392,1376,107.4903,106.2548,1.2355,214,210,468,463,0.3161,0.6903,-33.2355,-0.104,0.0875,450.480308797165,11.638846737481,12.381940840685,12.0521172638436,11.7034700315457,12.8251121076233,13.3632286995516,63.3931698774081,63.5964125560538,63.2394366197183,60.7945205479452,63.0501930501931,62.4418604651163
"173",676,"Pruitt, Gabe","BOS",10.6667,22,21,18,25,81.8182,119.0476,-37.2294,2,6,4,8,0.2,0.4,696.3333,1323,1324,1412,1405,106.7271,106.1178,0.6093,219,210,485,481,0.3129,0.6978,-37.8387,-0.1129,-0.2978,449.329318728328,10.7283763277693,11.0275038920602,10.586319218241,11.7034700315457,10.5381165919283,10.9417040358744,64.1812609457093,64.7668161434977,64.5070422535211,60.7945205479452,65.019305019305,64.5348837209302
"192",752,"Walker, Bill","BOS",10.3,21,20,18,23,85.7143,115,-29.2857,2,6,4,7,0.2222,0.4,696.7,1324,1325,1412,1407,106.6465,106.1887,0.4578,219,210,485,482,0.3124,0.6978,-29.7435,-0.0902,-0.2978,449.29837669417,10.7283763277693,10.9340944473275,10.586319218241,11.7034700315457,10.5381165919283,10.8071748878924,64.1812609457093,64.847533632287,64.5070422535211,60.7945205479452,65.019305019305,64.6511627906977
"118",383,"Smith, Joe","CLE",217.5167,374,382,411,362,109.893,94.7644,15.1287,82,70,162,124,0.3981,0.6983,459.4833,830,825,955,885,115.0602,107.2727,7.7875,158,126,301,286,0.3559,0.7049,7.3412,0.0422,-0.0066,442.284950583716,28.6191198786039,26.7669953295278,34.0390879478827,29.8738170347003,31.7937219730942,26.5470852017937,46.1733800350263,43.780269058296,49.0422535211268,40.0821917808219,43.7065637065637,41.8604651162791
"148",561,"Gibson, Daniel","CLE",171.8833,307,316,343,326,111.7264,103.1646,8.5618,70,61,123,103,0.4046,0.6685,505.1167,897,891,1023,921,114.0468,103.367,10.6798,170,135,340,307,0.3564,0.7158,-2.118,0.0482,-0.0473,439.716202966058,25.5235204855842,25.0856253243383,30.5211726384365,27.3186119873817,26.5470852017937,23.7219730941704,48.8528896672504,45.2331838565022,52.0845070422535,42.3013698630137,48.2239382239382,44.3023255813954
"96",273,"Wallace, Ben","CLE",176.1,300,306,322,348,107.3333,113.7255,-6.3922,65,45,102,106,0.3801,0.6939,500.9,904,901,1044,899,115.4867,99.778,15.7087,175,151,361,304,0.3653,0.7051,-22.1009,0.0148,-0.0112,438.593813049273,24.5675265553869,26.1131292163985,29.0553745928339,22.7760252365931,23.7219730941704,24.1255605381166,49.6803852889667,44.3452914798206,53.3521126760563,46.2465753424658,50.6563706563707,43.953488372093
"103",288,"Szczerbiak, Wally","CLE",154.3667,276,276,291,326,105.4348,118.1159,-12.6812,55,49,104,96,0.3642,0.6797,522.6333,928,931,1075,921,115.8405,98.9259,16.9146,185,147,359,314,0.3707,0.7095,-29.5958,-0.0065,-0.0298,437.8723713311,23.1562974203338,25.0856253243383,26.1237785016287,23.9116719242902,23.9910313901345,22.780269058296,50.9019264448336,45.2331838565022,55.887323943662,45.2602739726027,50.4247104247104,45.1162790697674
"75",198,"Battier, Shane","HOU",495.7,901,902,942,967,104.5505,107.2062,-2.6557,144,156,339,317,0.3124,0.6848,128.3,242,238,247,241,102.0661,101.2605,0.8056,40,35,90,95,0.2963,0.72,-3.4613,0.0161,-0.0352,434.189620201678,52.7921092564492,55.0233523611832,52.214983713355,54.2902208201893,55.6053811659193,52.5112107623318,18.2749562171629,17.7892376681614,19.1267605633803,17.6438356164384,19.2664092664093,19.6511627906977
"58",145,"Artest, Ron","HOU",488.0167,880,877,924,931,105,106.1574,-1.1574,141,149,330,318,0.3072,0.6889,135.9833,263,263,265,277,100.7605,105.3232,-4.5627,43,42,99,94,0.3139,0.7021,3.4053,-0.0067,-0.0132,433.320712622983,51.9726858877086,53.3419823559938,51.3355048859935,52.3028391167192,54.3946188340807,52.6457399103139,18.984238178634,19.2421524663677,19.887323943662,19.3698630136986,20.3088803088803,19.5348837209302
"92",265,"Pavlovic, Sasha","CLE",91.35,172,178,165,168,95.9302,94.382,1.5482,25,37,71,63,0.2841,0.6574,585.65,1032,1029,1201,1079,116.376,104.8591,11.5169,215,159,392,347,0.3826,0.7114,-9.9687,-0.0985,-0.054,433.242205894279,17.4203338391502,17.7062791904515,17.328990228013,20.5047318611987,19.5515695067265,18.3408071748879,55.8669001751314,51.609865470852,63.4929577464789,48.2191780821918,54.2471042471042,48.953488372093
"169",666,"Brooks, Aaron","HOU",443.6833,816,809,854,881,104.6569,108.8999,-4.243,131,140,303,288,0.3126,0.684,180.3167,327,331,335,327,102.4465,98.7915,3.6549,53,51,126,124,0.2994,0.7119,-7.8979,0.0132,-0.0279,430.790298026191,48.7860394537178,51.0067462376751,48.4039087947883,49.7476340694006,50.762331838565,48.609865470852,21.7425569176883,21.2600896860987,22.4225352112676,21.5890410958904,23.4362934362934,23.0232558139535
"171",674,"Scola, Luis","HOU",424.4333,773,768,822,824,106.3389,107.2917,-0.9527,120,127,290,276,0.303,0.6954,199.5667,370,372,367,384,99.1892,103.2258,-4.0366,64,64,139,136,0.32,0.6847,3.0839,-0.017,0.0107,428.849286390073,47.3292867981791,48.3445770627919,45.1791530944625,46.0567823343849,49.0134529147982,46.9955156950673,23.0035026269702,23.5605381165919,25.2112676056338,24.7945205479452,24.9420849420849,24.4186046511628
"194",757,"Jackson, Darnell","CLE",25.0333,47,47,43,58,91.4894,123.4043,-31.9149,6,14,19,13,0.3158,0.5758,651.9667,1157,1160,1323,1189,114.3475,102.5,11.8475,234,182,444,397,0.3708,0.7093,-43.7624,-0.055,-0.1335,428.300914009765,11.866464339909,12.5687597301505,11.7589576547231,13.9747634069401,12.5560538116592,11.6143497757848,60.6742556917688,56.0493273542601,68.3098591549296,53.8904109589041,60.2702702702703,54.7674418604651
"153",580,"Kinsey, Tarence","CLE",10.7,21,23,19,23,90.4762,100,-9.5238,4,7,9,5,0.4444,0.5625,666.3,1183,1184,1347,1224,113.8631,103.3784,10.4847,236,189,454,405,0.3682,0.7061,-20.0085,0.0762,-0.1436,427.258327352895,10.7738998482549,10.9340944473275,11.1726384364821,11.98738170347,11.2107623318386,10.5381165919283,61.6199649737303,57.4618834080717,68.8169014084507,55.6164383561644,61.4285714285714,55.6976744186046
"106",302,"Ming, Yao","HOU",322.75,582,573,611,612,104.9828,106.8063,-1.8235,97,92,222,198,0.3288,0.707,301.25,561,567,578,596,103.0303,105.1146,-2.0843,87,99,207,214,0.289,0.6765,0.2608,0.0398,0.0305,421.29934009578,37.7238239757208,38.4431759211209,38.4364820846906,36.1198738170347,39.8654708520179,36.5022421524664,31.3178633975482,32.1165919282511,31.0422535211268,33.4246575342466,32.8185328185328,33.4883720930233
"152",579,"Lowry, Kyle","HOU",253.4833,479,482,491,508,102.5052,105.3942,-2.889,78,82,181,178,0.3047,0.6882,370.5167,664,658,698,700,105.1205,106.383,-1.2625,106,109,248,234,0.3118,0.6947,-1.6265,-0.0071,-0.0065,417.646925996308,32.2610015174507,33.5858847950182,32.8664495114007,33.2807570977918,34.3497757847534,33.8116591928251,36.0464098073555,36.3139013452915,35.8591549295775,35.8904109589041,37.5675675675676,35.8139534883721
"170",667,"Landry, Carl","HOU",239.7167,441,439,466,448,105.6689,102.0501,3.6188,66,71,169,155,0.2986,0.7042,384.2833,702,701,723,760,102.9915,108.4165,-5.4251,118,120,260,257,0.3147,0.6842,9.0439,-0.0161,0.02,415.582691544117,31.1229135053111,30.7836014530358,29.3485342019544,30.1577287066246,32.7354260089686,30.7174887892377,37.031523642732,38.7354260089686,38.9014084507042,38.6027397260274,38.957528957529,38.4883720930233
"127",454,"Wafer, Von","HOU",180.7,343,343,334,353,97.3761,102.9155,-5.5394,53,52,128,134,0.2834,0.7111,443.3,800,797,855,855,106.875,107.2773,-0.4023,131,139,301,278,0.3203,0.6841,-5.1371,-0.0369,0.027,411.797517492363,25.113808801214,26.3466528282304,25.5374592833876,24.7634069400631,27.219730941704,27.8923766816144,42.2329246935201,42.5695067264574,42.1971830985916,43.2876712328767,43.7065637065637,40.9302325581395
"133",508,"Hayes, Chuck","HOU",173.3167,310,314,318,315,102.5806,100.3185,2.2622,56,55,119,122,0.3146,0.6839,450.6833,833,826,871,893,104.5618,108.1114,-3.5496,128,136,310,290,0.3062,0.6951,5.8118,0.0084,-0.0112,411.30209906382,24.3854324734446,24.5718733783083,26.4169381107492,25.615141955836,26.0089686098655,26.2780269058296,42.8633975481611,44.1031390134529,41.4366197183099,42.5479452054795,44.7490347490347,42.3255813953488
"15",33,"Barry, Brent","HOU",35,69,71,66,76,95.6522,107.0423,-11.3901,11,11,24,29,0.275,0.6857,589,1074,1069,1123,1132,104.5624,105.8934,-1.331,173,180,405,383,0.3112,0.6923,-10.0591,-0.0362,-0.0066,401.343235096031,12.9135053110774,13.4094447327452,13.2247557003257,13.1230283911672,13.2286995515695,13.7668161434978,52.7933450087566,53.7488789237668,52.8450704225352,53.3972602739726,55.7528957528957,53.1395348837209
"71",191,"Cook, Brian","HOU",32,63,63,54,71,85.7143,112.6984,-26.9841,14,12,18,26,0.35,0.6,592,1080,1077,1135,1137,105.0926,105.571,-0.4784,170,179,411,386,0.3058,0.6966,-26.5057,0.0442,-0.0966,401.227384950308,12.3672230652504,13.1759211209133,14.1042345276873,13.4069400630915,12.4215246636771,13.3632286995516,53.2661996497373,53.9506726457399,52.0845070422535,53.1506849315068,56.4478764478765,53.4883720930233
"109",312,"Mutombo, Dikembe","HOU",19.7167,33,36,38,30,115.1515,83.3333,31.8182,4,4,17,8,0.3333,0.8095,604.2833,1110,1104,1151,1178,103.6937,106.7029,-3.0092,180,187,412,404,0.3082,0.6878,34.8274,0.0251,0.1217,399.827020481055,11.638846737481,11.2610275038921,11.1726384364821,11.1356466876972,12.2869955156951,10.9417040358744,53.8966725043783,55.6053811659193,54.6197183098592,55.1232876712329,56.5637065637066,55.5813953488372
"166",654,"White, James","HOU",11.4833,25,23,25,24,100,104.3478,-4.3478,5,4,5,11,0.3125,0.5556,612.5167,1118,1117,1164,1184,104.1145,105.9982,-1.8837,179,187,424,401,0.3086,0.6939,-2.4641,0.0039,-0.1383,399.579398372488,11.0470409711684,10.9807991696938,11.4657980456026,11.1356466876972,10.6726457399103,11.3452914798206,54.4089316987741,55.847533632287,54.3661971830986,55.1232876712329,57.953667953668,55.2325581395349
"35",86,"Johnson, Joe","ATL",428.8667,742,737,743,792,100.1348,107.4627,-7.3279,132,155,244,297,0.3077,0.6115,99.1333,176,177,181,210,102.8409,118.6441,-15.8032,38,19,52,66,0.3654,0.7324,8.4753,-0.0577,-0.1209,381.606727452223,43.7329286798179,46.850025947068,48.6970684039088,54.006309148265,42.8251121076233,49.8206278026906,15.6742556917688,16.5381165919283,18.6197183098592,13.6986301369863,14.8648648648649,16.2790697674419
"38",94,"Smith, Josh","ATL",410.5,711,708,713,765,100.2813,108.0508,-7.7696,126,142,237,280,0.3103,0.6253,117.5,207,206,211,237,101.9324,115.0485,-13.1162,44,32,59,83,0.3465,0.6484,5.3466,-0.0362,-0.0231,380.087469303037,42.3672230652504,45.5889984431759,46.9381107491857,50.3154574132492,41.8834080717489,47.5336322869955,16.8563922942207,17.627802690583,20.1408450704225,16.9041095890411,15.6756756756757,18.2558139534884
"26",68,"Bibby, Mike","ATL",389.8,679,678,705,750,103.8292,110.6195,-6.7903,119,127,216,260,0.314,0.6297,138.2,239,236,219,252,91.6318,106.7797,-15.1479,51,47,80,103,0.3312,0.6299,8.3576,-0.0172,-2e-04,378.348132339015,42.0030349013657,44.8884276076803,44.885993485342,46.0567823343849,39.0582959641256,44.8430493273543,17.1716287215412,18.2331838565022,21.9154929577465,20.6027397260274,18.1081081081081,20.5813953488372
"66",174,"Murray, Ronald (Flip)","ATL",340.6167,584,585,599,642,102.5685,109.7436,-7.1751,117,109,190,230,0.3372,0.6355,187.3833,334,329,325,360,97.3054,109.4225,-12.1171,53,65,106,133,0.2849,0.6199,4.942,0.0523,0.0156,375.229148131228,37.1775417298938,39.8443175921121,44.299674267101,40.9463722397476,35.5605381165919,40.8071748878924,21.3485113835377,22.5919282511211,22.4225352112676,25.041095890411,21.1196911196911,24.0697674418605
"36",88,"Pachulia, Zaza","ATL",260.1833,442,438,462,479,104.5249,109.3607,-4.8358,93,100,146,171,0.3523,0.5935,267.8167,476,476,462,523,97.0588,109.8739,-12.8151,77,74,150,192,0.2862,0.6696,7.9793,0.0661,-0.0761,370.169592662056,30.9408194233687,32.2314478463934,37.2638436482085,38.391167192429,29.6412556053812,32.8699551569507,26.7469352014011,29.1704035874439,28.5070422535211,27.2602739726027,26.2162162162162,30.9302325581395
"99",276,"Evans, Maurice","ATL",265.1333,445,450,441,515,99.1011,114.4444,-15.3433,77,90,144,182,0.2973,0.6154,262.8667,473,464,483,487,102.1142,104.9569,-2.8427,93,84,152,181,0.3394,0.6441,-12.5006,-0.0421,-0.0287,369.425323344271,29.9848254931715,33.9128178515828,32.5732899022801,35.5520504731861,29.372197309417,34.3497757847534,27.5744308231173,27.7174887892377,32.5633802816901,29.7260273972603,26.4478764478764,29.6511627906977
"181",695,"Horford, Al","ATL",252.05,440,441,441,491,100.2273,111.3379,-11.1106,62,79,140,177,0.2594,0.6393,275.95,478,473,483,511,101.046,108.0338,-6.9878,108,95,156,186,0.3673,0.6215,-4.1228,-0.1079,0.0178,368.101696493824,29.9848254931715,32.7919045147898,28.1758957654723,32.4290220820189,28.8340807174888,33.6771300448431,27.5744308231173,28.6860986547085,36.3661971830986,32.4383561643836,26.9111969111969,30.2325581395349
"4",5,"Nowitzki, Dirk","DAL",393.8667,752,744,855,833,113.6968,111.9624,1.7344,112,109,276,249,0.3102,0.7169,86.1333,151,161,161,192,106.6225,119.2547,-12.6321,29,27,55,56,0.3412,0.6707,14.3665,-0.031,0.0462,364.905723686281,48.8315629742033,48.7649195640893,42.8338762214984,40.9463722397476,47.1300448430493,43.3632286995516,14.8861646234676,15.8116591928251,16.3380281690141,15.6712328767123,15.2123552123552,15.1162790697674
